Localidades;Periodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino M‚dio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;C¢d. IBGE
Adamantina;2013;8936;797;1935;4848;1356;3500105
Adamantina;2014;9312;824;1985;5149;1354;3500105
Adamantina;2015;9477;756;1851;5439;1431;3500105
Adamantina;2016;9716;742;1593;5825;1556;3500105
Adamantina;2017;10194;707;1612;6197;1678;3500105
Adolfo;2013;816;315;166;232;103;3500204
Adolfo;2014;870;305;169;259;137;3500204
Adolfo;2015;815;275;162;264;114;3500204
Adolfo;2016;835;268;153;299;115;3500204
Adolfo;2017;858;277;161;309;111;3500204
Aguaí;2013;6289;912;1638;3100;639;3500303
Aguaí;2014;6612;948;1746;3242;676;3500303
Aguaí;2015;7726;1668;1778;3447;833;3500303
Aguaí;2016;6576;800;1663;3230;883;3500303
Aguaí;2017;6966;790;1812;3357;1007;3500303
Águas da Prata;2013;956;270;183;340;163;3500402
Águas da Prata;2014;959;251;163;371;174;3500402
Águas da Prata;2015;995;222;192;391;190;3500402
Águas da Prata;2016;962;176;177;426;183;3500402
Águas da Prata;2017;994;159;180;453;202;3500402
Águas de Lindóia;2013;4663;870;933;2190;670;3500501
Águas de Lindóia;2014;4802;823;919;2384;676;3500501
Águas de Lindóia;2015;5019;795;939;2558;727;3500501
Águas de Lindóia;2016;4690;734;840;2439;677;3500501
Águas de Lindóia;2017;4712;722;833;2461;696;3500501
Águas de Santa Bárbara;2013;1287;357;279;473;178;3500550
Águas de Santa Bárbara;2014;1534;381;376;590;187;3500550
Águas de Santa Bárbara;2015;1654;352;429;678;195;3500550
Águas de Santa Bárbara;2016;1400;351;336;537;176;3500550
Águas de Santa Bárbara;2017;1387;350;302;536;199;3500550
Águas de São Pedro;2013;1366;190;305;662;209;3500600
Águas de São Pedro;2014;1462;192;339;708;223;3500600
Águas de São Pedro;2015;1268;146;248;645;229;3500600
Águas de São Pedro;2016;1346;150;225;683;288;3500600
Águas de São Pedro;2017;1429;165;226;758;280;3500600
Agudos;2013;8660;789;1860;4828;1183;3500709
Agudos;2014;8305;853;1663;4604;1185;3500709
Agudos;2015;8642;797;1658;4851;1336;3500709
Agudos;2016;8461;705;1452;4920;1384;3500709
Agudos;2017;8545;706;1368;5008;1463;3500709
Alambari;2013;822;135;226;405;56;3500758
Alambari;2014;871;121;209;472;69;3500758
Alambari;2015;862;106;214;464;78;3500758
Alambari;2016;904;95;202;525;82;3500758
Alambari;2017;968;115;201;556;96;3500758
Alfredo Marcondes;2013;829;88;104;549;88;3500808
Alfredo Marcondes;2014;815;69;113;548;85;3500808
Alfredo Marcondes;2015;786;70;103;512;101;3500808
Alfredo Marcondes;2016;800;79;159;456;106;3500808
Alfredo Marcondes;2017;906;93;167;518;128;3500808
Altair;2013;688;255;164;216;53;3500907
Altair;2014;688;250;171;207;60;3500907
Altair;2015;638;245;131;198;64;3500907
Altair;2016;654;217;144;218;75;3500907
Altair;2017;704;219;157;254;74;3500907
Altinópolis;2013;3856;1296;947;1163;450;3501004
Altinópolis;2014;3789;1201;917;1209;462;3501004
Altinópolis;2015;4043;1244;1031;1288;480;3501004
Altinópolis;2016;4036;1223;984;1336;493;3501004
Altinópolis;2017;4048;1104;944;1481;519;3501004
Alto Alegre;2013;716;134;218;288;76;3501103
Alto Alegre;2014;751;134;236;303;78;3501103
Alto Alegre;2015;543;94;127;244;78;3501103
Alto Alegre;2016;541;89;129;245;78;3501103
Alto Alegre;2017;532;92;129;226;85;3501103
Alumínio;2013;7123;305;651;5385;782;3501152
Alumínio;2014;6893;243;573;5190;887;3501152
Alumínio;2015;6479;232;505;4929;813;3501152
Alumínio;2016;6427;214;480;4777;956;3501152
Alumínio;2017;6305;215;405;4676;1009;3501152
Álvares Florence;2013;901;229;280;269;123;3501202
Álvares Florence;2014;672;151;186;216;119;3501202
Álvares Florence;2015;651;146;169;215;121;3501202
Álvares Florence;2016;618;122;156;230;110;3501202
Álvares Florence;2017;507;93;88;220;106;3501202
Álvares Machado;2013;3305;508;668;1596;533;3501301
Álvares Machado;2014;3413;509;690;1679;535;3501301
Álvares Machado;2015;3580;502;846;1685;547;3501301
Álvares Machado;2016;3483;496;727;1683;577;3501301
Álvares Machado;2017;3375;505;555;1691;624;3501301
