Localidades;Periodos;EmpregosFormais ;EmpregosFormaisdeHomens ;EmpregosFormaisdeMulheres ;Cód. IBGE
Adamantina;2013;8936;4646;4290;3500105
Adamantina;2014;9312;4756;4556;3500105
Adamantina;2015;9477;4866;4611;3500105
Adamantina;2016;9716;5034;4682;3500105
Adamantina;2017;10194;5331;4863;3500105
Adolfo;2013;816;490;326;3500204
Adolfo;2014;870;493;377;3500204
Adolfo;2015;815;477;338;3500204
Adolfo;2016;835;483;352;3500204
Adolfo;2017;858;499;359;3500204
Aguaí;2013;6289;3947;2342;3500303
Aguaí;2014;6612;4140;2472;3500303
Aguaí;2015;7726;4889;2837;3500303
Aguaí;2016;6576;4121;2455;3500303
Aguaí;2017;6966;4357;2609;3500303
Águas da Prata;2013;956;586;370;3500402
Águas da Prata;2014;959;579;380;3500402
Águas da Prata;2015;995;566;429;3500402
Águas da Prata;2016;962;546;416;3500402
Águas da Prata;2017;994;544;450;3500402
Águas de Lindóia;2013;4663;2498;2165;3500501
Águas de Lindóia;2014;4802;2565;2237;3500501
Águas de Lindóia;2015;5019;2700;2319;3500501
Águas de Lindóia;2016;4690;2455;2235;3500501
Águas de Lindóia;2017;4712;2601;2111;3500501
Águas de Santa Bárbara;2013;1287;765;522;3500550
Águas de Santa Bárbara;2014;1534;959;575;3500550
Águas de Santa Bárbara;2015;1654;1040;614;3500550
Águas de Santa Bárbara;2016;1400;885;515;3500550
Águas de Santa Bárbara;2017;1387;891;496;3500550
Águas de São Pedro;2013;1366;679;687;3500600
Águas de São Pedro;2014;1462;714;748;3500600
Águas de São Pedro;2015;1268;590;678;3500600
Águas de São Pedro;2016;1346;658;688;3500600
Águas de São Pedro;2017;1429;688;741;3500600
Agudos;2013;8660;5110;3550;3500709
Agudos;2014;8305;4916;3389;3500709
Agudos;2015;8642;4987;3655;3500709
Agudos;2016;8461;4879;3582;3500709
Agudos;2017;8545;4916;3629;3500709
Alambari;2013;822;444;378;3500758
Alambari;2014;871;456;415;3500758
Alambari;2015;862;458;404;3500758
Alambari;2016;904;502;402;3500758
Alambari;2017;968;525;443;3500758
Alfredo Marcondes;2013;829;544;285;3500808
Alfredo Marcondes;2014;815;522;293;3500808
Alfredo Marcondes;2015;786;499;287;3500808
Alfredo Marcondes;2016;800;476;324;3500808
Alfredo Marcondes;2017;906;542;364;3500808
Altair;2013;688;500;188;3500907
Altair;2014;688;481;207;3500907
Altair;2015;638;451;187;3500907
Altair;2016;654;471;183;3500907
Altair;2017;704;519;185;3500907
Altinópolis;2013;3856;2526;1330;3501004
Altinópolis;2014;3789;2446;1343;3501004
Altinópolis;2015;4043;2689;1354;3501004
Altinópolis;2016;4036;2703;1333;3501004
Altinópolis;2017;4048;2685;1363;3501004
Alto Alegre;2013;716;357;359;3501103
Alto Alegre;2014;751;349;402;3501103
Alto Alegre;2015;543;322;221;3501103
Alto Alegre;2016;541;307;234;3501103
Alto Alegre;2017;532;295;237;3501103
Alumínio;2013;7123;5741;1382;3501152
Alumínio;2014;6893;5479;1414;3501152
Alumínio;2015;6479;5132;1347;3501152
Alumínio;2016;6427;5121;1306;3501152
Alumínio;2017;6305;5038;1267;3501152
Álvares Florence;2013;901;616;285;3501202
Álvares Florence;2014;672;370;302;3501202
Álvares Florence;2015;651;344;307;3501202
Álvares Florence;2016;618;321;297;3501202
Álvares Florence;2017;507;250;257;3501202
Álvares Machado;2013;3305;1877;1428;3501301
Álvares Machado;2014;3413;1924;1489;3501301
Álvares Machado;2015;3580;1949;1631;3501301
Álvares Machado;2016;3483;1967;1516;3501301
Álvares Machado;2017;3375;2039;1336;3501301
Álvaro de Carvalho;2013;359;188;171;3501400
Álvaro de Carvalho;2014;433;218;215;3501400
Álvaro de Carvalho;2015;418;227;191;3501400
Álvaro de Carvalho;2016;381;212;169;3501400
Álvaro de Carvalho;2017;400;213;187;3501400
Alvinlândia;2013;374;231;143;3501509
Alvinlândia;2014;370;227;143;3501509
Alvinlândia;2015;333;199;134;3501509
Alvinlândia;2016;363;215;148;3501509
Alvinlândia;2017;349;218;131;3501509
Americana;2013;82334;45365;36969;3501608
Americana;2014;80758;44905;35853;3501608
Americana;2015;76611;42111;34500;3501608
Americana;2016;72890;40196;32694;3501608
Americana;2017;71840;39751;32089;3501608
Américo Brasiliense;2013;8837;6391;2446;3501707
Américo Brasiliense;2014;8693;6182;2511;3501707
Américo Brasiliense;2015;8601;6050;2551;3501707
Américo Brasiliense;2016;8582;6032;2550;3501707
Américo Brasiliense;2017;9443;6370;3073;3501707
Américo de Campos;2013;502;276;226;3501806
Américo de Campos;2014;613;298;315;3501806
Américo de Campos;2015;607;287;320;3501806
Américo de Campos;2016;574;271;303;3501806
Américo de Campos;2017;568;258;310;3501806
Amparo;2013;25587;14507;11080;3501905
Amparo;2014;25896;14798;11098;3501905
Amparo;2015;24998;14078;10920;3501905
Amparo;2016;24374;13415;10959;3501905
Amparo;2017;24510;13545;10965;3501905
Analândia;2013;1020;658;362;3502002
Analândia;2014;998;645;353;3502002
Analândia;2015;1039;684;355;3502002
Analândia;2016;981;651;330;3502002
Analândia;2017;984;649;335;3502002
Andradina;2013;14444;8118;6326;3502101
Andradina;2014;14653;8227;6426;3502101
Andradina;2015;15149;8940;6209;3502101
Andradina;2016;14667;8527;6140;3502101
Andradina;2017;14775;8589;6186;3502101
Angatuba;2013;4917;3055;1862;3502200
Angatuba;2014;5200;3198;2002;3502200
Angatuba;2015;5729;3567;2162;3502200
Angatuba;2016;5030;3115;1915;3502200
Angatuba;2017;5166;3220;1946;3502200
Anhembi;2013;962;665;297;3502309
Anhembi;2014;888;592;296;3502309
Anhembi;2015;857;580;277;3502309
Anhembi;2016;788;521;267;3502309
Anhembi;2017;872;577;295;3502309
Anhumas;2013;520;281;239;3502408
Anhumas;2014;702;383;319;3502408
Anhumas;2015;568;294;274;3502408
Anhumas;2016;506;256;250;3502408
Anhumas;2017;501;233;268;3502408
Aparecida;2013;10456;5715;4741;3502507
Aparecida;2014;11145;5933;5212;3502507
Aparecida;2015;11747;6139;5608;3502507
Aparecida;2016;11750;6045;5705;3502507
